subject,session,correct_recs,recs,intr,sem,lag,subj,subj_PF
LTP401,5,19,23,4,0.4940266802360492,0.5222248551448015,,
LTP401,6,40,55,15,0.6980556630988073,0.4523845365743459,0.6495929995929995,1.5699604743083004
LTP401,7,55,65,10,0.736419332106011,0.4968328007914748,0.7410434728413746,5.545734265734266
LTP401,8,109,127,18,0.7989878880960068,0.4881742481103214,0.7603480298320272,15.253785584494246
LTP401,9,166,185,19,0.7843226706851493,0.4793398643938773,0.799824575923502,33.10568206001277
LTP402,5,14,18,4,0.8028035899059925,0.6271723927776025,,
LTP402,6,18,33,15,0.6746376977053522,0.4642790894394968,0.84375,0.8585858585858586
LTP402,7,23,36,13,0.7333667498400026,0.5860182266432394,0.7890557409467309,0.9057239057239056
LTP402,8,31,46,15,0.7069387138458039,0.4358077720177329,0.7643133627442169,3.671497584541063
LTP402,9,31,44,13,0.73704946680358,0.5288133831966887,0.5582342199003457,1.6620553359683794
LTP404,5,10,30,20,0.4901553467617052,0.4821995918761182,,
LTP404,6,10,39,29,0.6108678497109207,0.5052208422729362,0.9072802197802198,-0.0341880341880341
LTP404,7,11,37,26,0.8945991687411117,0.8569322634968425,0.7629642800695432,0.9223839223839224
LTP404,8,10,35,25,0.7371105918661872,0.4801891644727809,0.6864055299539171,0.8610038610038611
LTP404,9,8,20,12,0.7838172694392311,0.5737157898943052,0.6751192480359146,0.84
LTP405,5,10,38,28,0.43037932517875,0.668333859324097,,
LTP405,6,14,23,9,0.6488579064564812,0.5574044476578507,0.793607755602241,1.8718535469107551
LTP405,7,9,38,29,0.7718019814814028,0.2121658975764103,0.95906432748538,0.9038901601830664
LTP405,8,31,45,14,0.7505515526572863,0.5438343513582374,0.949356166709108,1.950877192982456
LTP405,9,26,32,6,0.7269479602823189,0.5349601647515703,0.6653073734387065,5.575
LTP406,5,20,24,4,0.6152673393758663,0.4559152318718137,,
LTP406,6,25,30,5,0.7274743582247852,0.3990852827549097,0.6420382730444649,3.05
LTP406,7,27,33,6,0.698921900967039,0.4555639003410707,0.6800356385145405,4.309090909090909
LTP406,8,39,44,5,0.6153060717668696,0.5816622312512231,0.7629343351381472,5.421487603305785
LTP406,9,38,41,3,0.7049739066969228,0.5086641444229318,0.6563607656760625,5.035476718403547
LTP407,5,36,63,27,0.5665472801658186,0.5287807941033582,,
LTP407,6,43,75,32,0.7464174473621793,0.4533282030837264,0.6011705504087601,2.8044444444444445
LTP407,7,47,101,54,0.7409108349204566,0.4955320393956584,0.8051632086072511,11.72118811881188
LTP407,8,36,73,37,0.7286144869596247,0.5305835090305445,0.7991053333482914,10.658212396582124
LTP407,9,40,77,37,0.7662303455669719,0.5334676572236114,0.88398258090138,11.472691691869771
LTP408,5,28,54,26,0.6108872456012037,0.5294832235600181,,
LTP408,6,36,71,35,0.7550980279392202,0.5681393241693787,0.8016034649517396,7.66092853416797
LTP408,7,59,134,75,0.7871648279005686,0.4852619643080171,0.6348086645529889,5.704435568635695
LTP408,8,86,193,107,0.8351502071054641,0.5400839154799645,0.8094995753795896,19.58224421931792
LTP408,9,104,219,115,0.8346882297302782,0.5043766021038787,0.8104788554516182,31.473348001987365
LTP412,5,2,4,2,,,,
LTP412,6,4,10,6,,,0.75,0.7
LTP412,7,8,10,2,0.6599544355299535,0.5087387209107362,0.5555555555555556,-0.24
LTP412,8,13,19,6,0.5736928780879819,0.6045112645084023,0.9305555555555556,0.4105263157894737
LTP412,9,8,13,5,0.7879354610011969,0.2363727584651198,0.6816391941391942,0.5465587044534412
LTP414,5,13,16,3,0.5047582205932345,0.4272871840726384,,
LTP414,6,29,42,13,0.8799979437132144,0.4601138147739221,0.7068376068376069,3.7857142857142856
LTP414,7,33,63,30,0.7477647099887699,0.528023364465506,0.725885771111335,11.46938775510204
LTP414,8,41,64,23,0.7953878516522338,0.3958436602442345,0.781433612343974,16.538690476190474
LTP414,9,51,69,18,0.8209528856899458,0.5270410734914796,0.9196753539299642,19.55072463768116
LTP415,5,34,36,2,0.6841904887460377,0.5519174484497175,,
LTP415,6,54,64,10,0.742156098841289,0.4986948178544461,0.8489073847085822,6.390625
LTP415,7,78,94,16,0.7784668655142506,0.4759851053242669,0.7447015606164809,13.25
LTP415,8,90,107,17,0.7383563781023611,0.5606184493535701,0.8368246399894645,22.039570491151323
LTP415,9,107,113,6,0.8122684201743261,0.5132409425951313,0.8900494541669738,28.081961789760975
LTP416,5,19,23,4,0.651815687346385,0.5111141363350117,,
LTP416,6,53,61,8,0.7148103569814954,0.4862960634528152,0.7568903404816717,2.612259444048468
LTP416,7,103,117,14,0.7231379845570828,0.5385038323542786,0.8958577199244983,12.445145018915513
LTP416,8,172,189,17,0.7624055575585306,0.4823827330206395,0.8601555049807231,33.06824040157373
LTP416,9,198,217,19,0.7636469382801192,0.5167284592498083,0.8516337337942612,59.85099846390169
LTP417,5,28,48,20,0.7152128630452752,0.5745262758327806,,
LTP417,6,55,79,24,0.7902015600717649,0.5293175658274658,0.8011792672562047,8.335443037974684
LTP417,7,74,105,31,0.819543155550887,0.5114001258738661,0.8860243488786682,18.11754068716094
LTP417,8,95,122,27,0.7994273309411775,0.4594633141899423,0.9008059195258848,21.179391100702578
LTP417,9,111,156,45,0.8533296398689668,0.5177932779248898,0.9278675244437452,26.061580496006727
LTP418,5,6,37,31,0.743455497382199,0.2560975609756097,,
LTP418,6,17,66,49,0.6017147605505772,0.3118587239746889,0.7626117496807152,1.850941850941851
LTP418,7,11,68,57,0.27336860670194,0.7139084507042254,0.4649863414014357,0.893048128342246
LTP418,8,22,62,40,0.799166509477855,0.3295662525814497,0.5568196398242505,0.8377609108159393
LTP418,9,23,80,57,0.6221602491310226,0.3998133018491729,0.6166826627895586,1.7959677419354838
LTP419,5,9,24,15,0.6449393796688736,0.3202477057466751,,
LTP419,6,7,14,7,0.7264660339321841,0.3189365953341654,0.8093149540517962,0.6666666666666667
LTP419,7,7,14,7,0.5504369638315778,0.5048149596354167,0.7348484848484849,1.5714285714285714
LTP419,8,6,19,13,0.5042446716326137,0.3648576660318761,0.6465909090909091,1.5789473684210529
LTP419,9,7,22,15,0.2670412851108439,0.1096245429686299,0.7819444444444444,3.3684210526315788
LTP420,6,29,65,36,0.7077292852367016,,,
LTP420,7,31,59,28,0.6839004442388162,0.5073211619408117,0.7981399134976688,4.840417209908735
LTP420,8,35,63,28,0.8162483990181447,0.5601925244835008,0.7943847930735288,7.62227602905569
LTP420,9,31,58,27,0.653359799034927,0.5254790786646256,0.8096709798737675,7.586206896551724
LTP421,5,36,64,28,0.7159009311698583,0.5036391732351159,,
LTP421,6,39,79,40,0.6412049309239629,0.4035307783892783,0.6468968284501451,4.833860759493671
LTP421,7,86,134,48,0.7219628223303413,0.5341375640351933,0.7605080013852539,7.658794634422822
LTP421,8,98,147,49,0.7564341242962809,0.4456180060214492,0.8979495367016785,28.292110874200425
LTP421,9,125,182,57,0.7760078301147287,0.4751656921900788,0.8598022203730247,39.19922254616132
LTP422,5,85,95,10,0.7567068400371129,0.4537944244408761,,
LTP422,6,131,143,12,0.7800045917207705,0.475559737381365,0.9099035956282844,31.16083916083916
LTP422,7,256,269,13,0.7436480628257743,0.5296897135183618,0.8889333668551873,50.19411443575012
LTP422,8,259,274,15,0.741083749968215,0.5354776249287921,0.921424698886898,91.93083331072096
LTP423,5,15,19,4,0.8453685607213363,0.2881318182619567,,
LTP423,6,38,46,8,0.9267421234148054,0.4436285123559154,0.645261830693816,3.450800915331808
LTP423,7,50,51,1,0.8591886872387278,0.4541649195001437,0.8545438345576384,19.92583120204604
LTP423,8,76,92,16,0.8742842082815433,0.4830488507613992,0.8419723698320253,24.156010230179028
LTP423,9,82,92,10,0.8574959414107246,0.5297064408791897,0.9035121640075195,28.9234404536862
LTP424,5,38,47,9,0.7833766251003088,0.4159538587971002,,
LTP424,6,54,63,9,0.7350302173066098,0.6076515415719979,0.7209130400678981,8.371833839918946
LTP424,7,61,79,18,0.7199963672321423,0.4479400907758278,0.7866624095047112,7.435001004621258
LTP424,8,83,106,23,0.7761747151852824,0.572596334305967,0.7852714287019351,13.264389777883926
LTP424,9,105,135,30,0.7589766833738086,0.4833518902777902,0.7675496395977652,24.071698113207542
LTP425,5,25,35,10,0.6335648923280958,0.4503055025163946,,
LTP425,6,67,89,22,0.767579898964094,0.5110351693162404,0.7582409343322657,2.645585874799358
LTP425,7,114,148,34,0.848222078948183,0.4551335130449166,0.884067636377581,19.406923777710293
LTP425,8,119,171,52,0.8289932013508328,0.4708183795180659,0.8821591365423643,28.4621463568832
LTP425,9,214,261,47,0.8792615014913391,0.5236732950483414,0.9348885604009284,42.37075127153772
LTP427,5,18,30,12,0.5920444439768762,0.5164326298223639,,
LTP427,6,31,41,10,0.6058465008571556,0.4898532845048243,0.7423321372618106,4.44390243902439
LTP427,7,37,45,8,0.6679089049849822,0.5374159431936236,0.751359577320148,7.180487804878049
LTP427,8,50,60,10,0.6277317717493796,0.4998617311367523,0.7384348996823192,7.902222222222222
LTP427,9,68,73,5,0.6635076325459613,0.5511647798651482,0.7927174525421901,13.741552511415524
LTP429,5,20,56,36,0.6735582020231539,0.3679506082984604,,
LTP429,6,36,75,39,0.6121683479018811,0.6210770494070578,0.8043818730289318,1.913333333333333
LTP429,7,39,72,33,0.6267875165628795,0.3522461885126955,0.6919634561516353,2.6555555555555554
LTP429,8,38,68,30,0.6909481966242815,0.3756197362054584,0.7661135119543191,3.6200980392156863
LTP429,9,62,99,37,0.6375639979012162,0.51713903774786,0.6933490909357164,7.488413547237076
LTP430,5,27,67,40,0.8935978328925321,0.3814976063437067,,
LTP430,6,78,100,22,0.7546828994246734,0.5356142367274307,0.7204725748471175,8.623880597014926
LTP430,7,128,159,31,0.8370806795149841,0.5547282626287281,0.8294624540195814,26.164528301886797
LTP430,8,175,199,24,0.8026769116373373,0.4908187841960199,0.8454950796207608,36.972472425018175
