subject,session,prob
LTP229,6,0.8619811807700356
LTP229,7,0.893893565440545
LTP229,8,0.9172026795771279
LTP229,9,0.9327492264510702
LTP246,6,0.6759478733218229
LTP246,7,0.5338756048522875
LTP246,8,0.8892220910249917
LTP246,9,0.9217122176382464
LTP260,6,0.6854622412192561
LTP260,9,0.8047028836039626
LTP312,8,0.8699636742756557
LTP327,8,0.8519469246031746
LTP327,9,0.733801531898835
LTP329,7,0.9743129756605986
LTP329,8,0.9662374914153713
LTP329,9,0.8204502162042002
LTP339,6,0.6427603756132212
LTP339,7,0.7397115560160316
LTP339,8,0.807913904473001
LTP339,9,0.8541572514522648
LTP347,6,0.10606060606060606
LTP347,7,0.9913793103448276
LTP347,8,0.7807971014492754
LTP347,9,0.49074074074074076
LTP355,7,0.7606797138047138
LTP355,8,0.8011606973940023
LTP355,9,0.8226842551228026
LTP356,6,0.8422964253112694
LTP356,7,0.7826952756710094
LTP356,8,0.8264149314273678
LTP356,9,0.8606453520953452
LTP365,6,0.690190577412384
LTP365,7,0.9035559223406151
LTP365,8,0.9280775873029422
LTP365,9,0.8955575142271841
LTP372,6,0.125
LTP372,7,0.43125
LTP372,8,0.8398560523237765
LTP372,9,0.8494874968557958
LTP400,6,0.8850923332522628
LTP400,7,0.8255269574326471
LTP400,8,0.931081499129337
LTP400,9,0.8843732426861434
LTP401,6,0.6495929995929995
LTP401,7,0.7410434728413746
LTP401,8,0.7603480298320272
LTP401,9,0.799824575923502
LTP402,6,0.84375
LTP402,7,0.7890557409467309
LTP402,8,0.7643133627442169
LTP402,9,0.5582342199003457
LTP404,6,0.9072802197802198
LTP404,7,0.7629642800695432
LTP404,8,0.6864055299539171
LTP404,9,0.6751192480359146
LTP405,6,0.793607755602241
LTP405,7,0.9590643274853801
LTP405,8,0.9493561667091079
LTP405,9,0.6653073734387065
LTP406,6,0.6420382730444649
LTP406,7,0.6800356385145405
LTP406,8,0.7629343351381472
LTP406,9,0.6563607656760625
LTP407,6,0.6011705504087601
LTP407,7,0.8051632086072511
LTP407,8,0.7991053333482914
LTP407,9,0.88398258090138
LTP408,6,0.8016034649517396
LTP408,7,0.6348086645529889
LTP408,8,0.8094995753795896
LTP408,9,0.8104788554516182
LTP412,6,0.75
LTP412,7,0.5555555555555556
LTP412,8,0.9305555555555556
LTP412,9,0.6816391941391942
LTP414,6,0.7068376068376069
LTP414,7,0.725885771111335
LTP414,8,0.781433612343974
LTP414,9,0.9196753539299642
LTP415,6,0.8489073847085822
LTP415,7,0.7447015606164809
LTP415,8,0.8368246399894645
LTP415,9,0.8900494541669738
LTP416,6,0.7568903404816717
LTP416,7,0.8958577199244983
LTP416,8,0.8601555049807231
LTP416,9,0.8516337337942612
LTP417,6,0.8011792672562047
LTP417,7,0.8860243488786682
LTP417,8,0.9008059195258847
LTP417,9,0.9278675244437453
LTP418,6,0.7626117496807152
LTP418,7,0.46498634140143574
LTP418,8,0.5568196398242505
LTP418,9,0.6166826627895586
LTP419,6,0.8093149540517962
LTP419,7,0.7348484848484849
LTP419,8,0.6465909090909091
LTP419,9,0.7819444444444444
LTP420,7,0.7981399134976688
LTP420,8,0.7943847930735288
LTP420,9,0.8096709798737675
LTP421,6,0.6468968284501451
LTP421,7,0.7605080013852539
LTP421,8,0.8979495367016785
LTP421,9,0.8598022203730247
LTP422,6,0.9099035956282844
LTP422,7,0.8889333668551873
LTP422,8,0.921424698886898
LTP423,6,0.645261830693816
LTP423,7,0.8545438345576384
LTP423,8,0.8419723698320253
LTP423,9,0.9035121640075197
LTP424,6,0.7209130400678981
LTP424,7,0.7866624095047112
LTP424,8,0.7852714287019351
LTP424,9,0.7675496395977652
LTP425,6,0.7582409343322657
LTP425,7,0.884067636377581
LTP425,8,0.8821591365423643
LTP425,9,0.9348885604009283
LTP427,6,0.7423321372618106
LTP427,7,0.751359577320148
LTP427,8,0.7384348996823192
LTP427,9,0.7927174525421901
LTP429,6,0.8043818730289318
LTP429,7,0.6919634561516353
LTP429,8,0.7661135119543191
LTP429,9,0.6933490909357164
LTP430,6,0.7204725748471175
LTP430,7,0.8294624540195814
LTP430,8,0.8454950796207608
LTP430,9,0.8941373205191112
LTP431,6,0.8274509803921568
LTP431,7,0.8550538830395908
LTP431,8,0.8256636548277732
LTP431,9,0.8359803928552965
LTP433,6,0.6903340455698866
LTP433,7,0.8825321431675416
LTP435,6,0.7223788116645259
LTP435,7,0.7985638317971786
LTP436,6,0.6457781627976862
LTP436,7,0.8366990098113921
LTP436,8,0.8465056645303873
